,date,project,relative_interest
0,2004-01-01,mlpack,30.0
1,2004-01-01,robotframework,83.0
2,2004-01-01,openssl,230.0
3,2004-01-01,ITK,55.0
4,2004-01-01,junit4,171.0
5,2004-01-01,struts1,310.0
6,2004-01-01,PyTables,0.0
7,2004-01-01,pycrypto,66.0
8,2004-01-01,paramiko,0.0
9,2004-01-01,rails,110.0
10,2004-01-01,camping,33.0
11,2004-01-01,django,3.0
12,2004-01-01,botan,36.0
13,2004-01-01,pytest,0.0
14,2004-01-01,struts,174.0
15,2004-01-01,testng,25.0
16,2004-01-01,Resteasy,0.0
17,2004-01-01,cppcms,90.0
18,2004-01-01,mahout,0.0
19,2004-01-01,cxf,0.0
20,2004-01-01,googletest,31.0
21,2004-01-01,minitest,35.0
22,2004-01-01,qunit,0.0
23,2004-01-01,spring-framework,38.0
24,2004-01-01,test-unit,57.0
25,2004-01-01,express,86.0
26,2004-01-01,pandas,2.0
27,2004-01-01,rspec,0.0
28,2004-01-01,statsample,0.0
29,2004-01-01,wt,98.0
30,2004-01-01,Catch2,0.0
31,2004-01-01,backbone,46.0
32,2004-01-01,brakeman,97.0
33,2004-01-01,d3,11.0
34,2004-01-01,flask,100.0
35,2004-01-01,grape,75.0
36,2004-01-01,libtomcrypt,99.0
37,2004-01-01,moa,19.0
38,2004-01-01,sciruby,100.0
39,2004-01-01,sorcery,55.0
40,2004-01-01,spark,31.0
41,2004-01-01,zaproxy,0.0
42,2004-01-01,brain.js,0.0
43,2004-01-01,jstat,70.0
44,2004-01-01,nmatrix,0.0
45,2004-01-01,node js,0.0
46,2004-01-01,orange3,0.0
47,2004-01-01,playframework,0.0
48,2004-01-01,pytorch,0.0
49,2004-01-01,roda,20.0
50,2004-01-01,tensorflow ruby,0.0
51,2004-01-01,web2py,0.0
52,2004-01-01,eve,42.0
53,2004-01-01,bouncy castle,101.0
54,2004-01-01,cpprestsdk,185.0
55,2004-01-01,helmet,37.0
56,2004-01-01,koa,54.0
57,2004-01-01,react,1.0
58,2004-01-01,restbed,91.0
59,2004-01-01,Chart.js,0.0
60,2004-01-01,cypress,83.0
61,2004-01-01,dask,43.0
62,2004-01-01,h2o-3,48.0
63,2004-01-01,hanami,51.0
64,2004-01-01,jest,45.0
65,2004-01-01,synaptic,74.0
66,2004-01-01,jsrsasign,0.0
67,2004-01-01,junit5,0.0
68,2004-01-01,nsp,69.0
69,2004-01-01,pistache,0.0
70,2004-01-01,tensorflow,0.0
71,2004-01-01,vue,39.0
72,2004-01-01,weka 3.8,0.0
73,2004-01-01,cppunit,94.0
74,2004-01-01,tfjs,0.0
75,2004-01-01,fastapi,29.0
76,2004-01-01,deeplearning4j,72.0
77,2004-01-01,faces,106.0
78,2004-01-01,owasp java,31.0
79,2004-01-01,armadillo code,68.0
80,2004-02-01,mlpack,100.0
81,2004-02-01,robotframework,99.0
82,2004-02-01,openssl,94.0
83,2004-02-01,ITK,90.0
84,2004-02-01,junit4,51.0
85,2004-02-01,struts1,336.0
86,2004-02-01,PyTables,0.0
87,2004-02-01,pycrypto,0.0
88,2004-02-01,paramiko,0.0
89,2004-02-01,rails,39.0
90,2004-02-01,camping,33.0
91,2004-02-01,django,2.0
92,2004-02-01,botan,0.0
93,2004-02-01,pytest,7.0
94,2004-02-01,struts,186.0
95,2004-02-01,testng,11.0
96,2004-02-01,Resteasy,0.0
97,2004-02-01,cppcms,98.0
98,2004-02-01,mahout,0.0
99,2004-02-01,cxf,0.0
100,2004-02-01,googletest,35.0
101,2004-02-01,minitest,33.0
102,2004-02-01,qunit,0.0
103,2004-02-01,spring-framework,58.0
104,2004-02-01,test-unit,85.0
105,2004-02-01,express,86.0
106,2004-02-01,pandas,2.0
107,2004-02-01,rspec,0.0
108,2004-02-01,statsample,0.0
109,2004-02-01,wt,94.0
110,2004-02-01,Catch2,0.0
111,2004-02-01,backbone,44.0
112,2004-02-01,brakeman,0.0
113,2004-02-01,d3,12.0
114,2004-02-01,flask,65.0
115,2004-02-01,grape,100.0
116,2004-02-01,libtomcrypt,0.0
117,2004-02-01,moa,27.0
118,2004-02-01,sciruby,0.0
119,2004-02-01,sorcery,32.0
120,2004-02-01,spark,24.0
121,2004-02-01,zaproxy,0.0
122,2004-02-01,brain.js,0.0
123,2004-02-01,jstat,0.0
124,2004-02-01,nmatrix,0.0
125,2004-02-01,node js,0.0
126,2004-02-01,orange3,0.0
127,2004-02-01,playframework,95.0
128,2004-02-01,pytorch,4.0
129,2004-02-01,roda,18.0
130,2004-02-01,tensorflow ruby,0.0
131,2004-02-01,web2py,0.0
132,2004-02-01,eve,36.0
133,2004-02-01,bouncy castle,36.0
134,2004-02-01,cpprestsdk,200.0
135,2004-02-01,helmet,76.0
136,2004-02-01,koa,80.0
137,2004-02-01,react,1.0
138,2004-02-01,restbed,100.0
139,2004-02-01,Chart.js,30.0
140,2004-02-01,cypress,100.0
141,2004-02-01,dask,55.0
142,2004-02-01,h2o-3,39.0
143,2004-02-01,hanami,0.0
144,2004-02-01,jest,31.0
145,2004-02-01,synaptic,69.0
146,2004-02-01,jsrsasign,0.0
147,2004-02-01,junit5,39.0
148,2004-02-01,nsp,30.0
149,2004-02-01,pistache,0.0
150,2004-02-01,tensorflow,4.0
151,2004-02-01,vue,36.0
152,2004-02-01,weka 3.8,0.0
153,2004-02-01,cppunit,92.0
154,2004-02-01,tfjs,0.0
155,2004-02-01,fastapi,7.0
156,2004-02-01,deeplearning4j,100.0
157,2004-02-01,faces,118.0
158,2004-02-01,owasp java,0.0
159,2004-02-01,armadillo code,68.0
160,2004-03-01,mlpack,166.0
161,2004-03-01,robotframework,0.0
162,2004-03-01,openssl,203.0
163,2004-03-01,ITK,97.0
164,2004-03-01,junit4,0.0
165,2004-03-01,struts1,343.0
166,2004-03-01,PyTables,0.0
167,2004-03-01,pycrypto,87.0
168,2004-03-01,paramiko,0.0
169,2004-03-01,rails,14.0
170,2004-03-01,camping,43.0
171,2004-03-01,django,2.0
172,2004-03-01,botan,21.0
173,2004-03-01,pytest,6.0
174,2004-03-01,struts,192.0
175,2004-03-01,testng,20.0
176,2004-03-01,Resteasy,0.0
177,2004-03-01,cppcms,200.0
178,2004-03-01,mahout,0.0
179,2004-03-01,cxf,0.0
180,2004-03-01,googletest,80.0
181,2004-03-01,minitest,37.0
182,2004-03-01,qunit,0.0
183,2004-03-01,spring-framework,25.0
184,2004-03-01,test-unit,166.0
185,2004-03-01,express,82.0
186,2004-03-01,pandas,2.0
187,2004-03-01,rspec,0.0
188,2004-03-01,statsample,0.0
189,2004-03-01,wt,102.0
190,2004-03-01,Catch2,0.0
191,2004-03-01,backbone,42.0
192,2004-03-01,brakeman,0.0
193,2004-03-01,d3,11.0
194,2004-03-01,flask,71.0
195,2004-03-01,grape,43.0
196,2004-03-01,libtomcrypt,0.0
197,2004-03-01,moa,0.0
198,2004-03-01,sciruby,0.0
199,2004-03-01,sorcery,0.0
200,2004-03-01,spark,24.0
201,2004-03-01,zaproxy,70.0
202,2004-03-01,brain.js,100.0
203,2004-03-01,jstat,0.0
204,2004-03-01,nmatrix,41.0
205,2004-03-01,node js,0.0
206,2004-03-01,orange3,0.0
207,2004-03-01,playframework,0.0
208,2004-03-01,pytorch,0.0
209,2004-03-01,roda,15.0
210,2004-03-01,tensorflow ruby,0.0
211,2004-03-01,web2py,0.0
212,2004-03-01,eve,55.0
213,2004-03-01,bouncy castle,54.0
214,2004-03-01,cpprestsdk,191.0
215,2004-03-01,helmet,50.0
216,2004-03-01,koa,100.0
217,2004-03-01,react,2.0
218,2004-03-01,restbed,96.0
219,2004-03-01,Chart.js,0.0
220,2004-03-01,cypress,95.0
221,2004-03-01,dask,76.0
222,2004-03-01,h2o-3,50.0
223,2004-03-01,hanami,0.0
224,2004-03-01,jest,43.0
225,2004-03-01,synaptic,77.0
226,2004-03-01,jsrsasign,0.0
227,2004-03-01,junit5,85.0
228,2004-03-01,nsp,46.0
229,2004-03-01,pistache,0.0
230,2004-03-01,tensorflow,0.0
231,2004-03-01,vue,79.0
232,2004-03-01,weka 3.8,0.0
233,2004-03-01,cppunit,79.0
234,2004-03-01,tfjs,0.0
235,2004-03-01,fastapi,0.0
236,2004-03-01,deeplearning4j,196.0
237,2004-03-01,faces,197.0
238,2004-03-01,owasp java,33.0
